:Location: vellore
:Device: PLUTO
:User: devmode2
SessionNumber,DateTime,TrialNumberDay,TrialNumberSession,TrialType,TrialStartTime,TrialStopTime,TrialRawDataFile,Mechanism,GameName,GameParameter,GameSpeed,AssistMode,DesiredSuccessRate,SuccessRate,CurrentControlBound,NextControlBound,MoveTime,CurrentTargets,CurrentHits,CurrentMisses,CummulativeTargets,CummulativeHits,CummulativeMisses,CurrentStar,CummulativeStars
1,2026-09-10T11:00:44,1,1,SR85PCTRAIN,2026-09-10T10:59:37,2026-09-10T11:00:44,raw-sess01-trial001-HAT-TRICK-WFE.csv,WFE,HAT-TRICK,4.0,10.0,AAN,85.000,85.000,0.600,0.540,60.0,20,17,3,20,17,3,0,0
2,2026-09-10T11:13:02,2,1,SR85PCTRAIN,2026-09-10T11:12:47,2026-09-10T11:13:02,raw-sess02-trial002-HAT-TRICK-WFE.csv,WFE,HAT-TRICK,4.0,10.0,AAN,85.000,40.000,0.540,0.936,60.0,5,2,2,25,19,5,0,0
3,2026-09-10T11:19:13,3,1,SR85PCTRAIN,2026-09-10T11:18:08,2026-09-10T11:19:13,raw-sess03-trial003-HAT-TRICK-WFE.csv,WFE,HAT-TRICK,4.0,10.0,AAN,85.000,95.000,0.936,0.742,60.0,20,19,1,45,38,6,0,0
3,2026-09-10T11:19:17,3,1,SR85PCTRAIN,2026-09-10T11:18:08,2026-09-10T11:19:17,raw-sess03-trial003-HAT-TRICK-WFE.csv,WFE,HAT-TRICK,4.0,10.0,AAN,85.000,0.000,0.742,1.000,60.0,0,0,0,45,38,6,0,0
5,2026-09-10T11:32:29,4,1,SR85PCTRAIN,2026-09-10T11:31:08,2026-09-10T11:32:29,raw-sess05-trial004-HAT-TRICK-WFE.csv,WFE,HAT-TRICK,4.0,10.0,AAN,85.000,90.000,1.000,0.850,60.0,20,18,2,65,56,8,0,0
6,2026-09-10T14:55:57,5,1,SR85PCCATCH,2026-09-10T14:54:51,2026-09-10T14:55:57,raw-sess06-trial005-FRUIT-BASKET-WFE.csv,WFE,FRUIT-BASKET,4.0,10.0,ACTIVE,85.000,93.333,0.850,0.682,60.0,15,14,1,15,14,1,0,0
6,2026-09-10T14:57:14,6,2,TRAIN,2026-09-10T14:56:06,2026-09-10T14:57:14,raw-sess06-trial006-RNR-WFE.csv,WFE,RNR,4.0,10.0,AAN,94.000,85.714,0.682,0.696,60.0,21,18,0,21,18,0,0,0
8,2026-09-10T15:16:21,7,1,TRAIN,2026-09-10T15:15:17,2026-09-10T15:16:21,raw-sess08-trial007-RNR-WFE.csv,WFE,RNR,4.0,10.0,AAN,88.000,90.000,0.696,0.606,60.0,20,18,0,41,36,0,0,0
9,2026-09-10T15:20:03,8,1,TRAIN,2026-09-10T15:18:57,2026-09-10T15:20:03,raw-sess09-trial008-RNR-WFE.csv,WFE,RNR,4.0,10.0,AAN,86.000,87.500,0.606,0.530,60.0,24,21,0,65,57,0,0,0
9,2026-09-10T15:20:38,9,2,TRAIN,2026-09-10T15:20:09,2026-09-10T15:20:38,raw-sess09-trial009-FRUIT-BASKET-WFE.csv,WFE,FRUIT-BASKET,4.0,10.0,AAN,88.000,85.714,0.530,0.500,60.0,7,6,1,22,20,2,0,0
